semester,year,dept,course_count
2021F,2021,GREE,4
2021F,2021,HIST,24
2021F,2021,JAPA,16
2021F,2021,LATI,3
2021F,2021,LJST,6
2021F,2021,LLAS,5
2021F,2021,MATH,15
2021F,2021,MIXD,111
2021F,2021,MUSI,15
2021F,2021,MUSL,104
2021F,2021,NEUR,5
2021F,2021,PHIL,4
2021F,2021,PHYS,10
2021F,2021,POSC,21
2021F,2021,PSYC,13
2021F,2021,RELI,9
2021F,2021,RUSS,8
2021F,2021,SOCI,14
2021F,2021,SPAN,9
2021F,2021,STAT,11
2021F,2021,SWAG,21
2021F,2021,THDA,14
2021J,2021,AMST,2
2021J,2021,ANTH,2
2021J,2021,ARCH,1
2021J,2021,ARHA,8
2021J,2021,ASLC,1
2021J,2021,BIOL,2
2021J,2021,BLST,2
2021J,2021,CHEM,3
2021J,2021,CLAS,1
2021J,2021,COLQ,2
2021J,2021,COSC,1
2021J,2021,ECON,2
2021J,2021,ENGL,4
2021J,2021,FAMS,4
2021J,2021,GEOL,1
2021J,2021,HIST,1
2021J,2021,LJST,3
2021J,2021,LLAS,2
2021J,2021,MATH,2
2021J,2021,MIXD,15
2021J,2021,MUSI,5
2021J,2021,POSC,3
2021J,2021,PSYC,2
2021J,2021,RUSS,1
2021J,2021,SOCI,2
2021J,2021,STAT,2
2021J,2021,SWAG,1
2021S,2021,AMST,14
2021S,2021,ANTH,8
2021S,2021,ARAB,4
2021S,2021,ARCH,9
2021S,2021,ARHA,29
2021S,2021,ASLC,12
2021S,2021,ASTR,4
2021S,2021,BCBP,4
2021S,2021,BIOL,18
2021S,2021,BLST,19
2021S,2021,CHEM,11
2021S,2021,CHIN,4
